locus_tag	ftype	length_bp	gene	EC_number	COG	product
OPGKPABH_01212	CDS	609	yibF		COG0625	putative GST-like protein YibF
OPGKPABH_01213	CDS	1392	selA	2.9.1.1	COG1921	L-seryl-tRNA(Sec) selenium transferase
OPGKPABH_01214	CDS	1851	selB		COG3276	Selenocysteine-specific elongation factor
OPGKPABH_01215	CDS	882	bglK	2.7.1.85	COG1940	Beta-glucoside kinase
OPGKPABH_01216	CDS	1539	aldB	1.2.1.4	COG1012	Aldehyde dehydrogenase B
OPGKPABH_01217	CDS	1956	hypBA1	3.2.1.185		Non-reducing end beta-L-arabinofuranosidase
OPGKPABH_01218	CDS	816	rhaR_4			HTH-type transcriptional activator RhaR
OPGKPABH_01219	CDS	696	sgbE	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase SgbE
OPGKPABH_01220	CDS	861	ulaE_1	5.1.3.22	COG3623	L-ribulose-5-phosphate 3-epimerase UlaE
OPGKPABH_01221	CDS	663	sgbH	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase SgbH
OPGKPABH_01222	CDS	1497	lyx	2.7.1.-	COG1070	L-xylulose/3-keto-L-gulonate kinase
OPGKPABH_01223	CDS	987	yiaO		COG1638	2,3-diketo-L-gulonate-binding periplasmic protein YiaO
OPGKPABH_01224	CDS	1278	siaM		COG1593	Sialic acid TRAP transporter large permease protein SiaM
OPGKPABH_01225	CDS	474	yiaM		COG3090	2,3-diketo-L-gulonate TRAP transporter small permease protein YiaM
OPGKPABH_01226	CDS	933	yiaX1			putative protein YiaX1
OPGKPABH_01227	CDS	465	nanQ_2		COG2731	N-acetylneuraminate anomerase NanQ
OPGKPABH_01228	CDS	999	dlgD	1.1.1.130	COG2055	2,3-diketo-L-gulonate reductase
OPGKPABH_01229	CDS	801	yiaJ		COG1414	DNA-binding transcriptional repressor YiaJ
OPGKPABH_01230	CDS	474	aegA_2		COG0493	Putative oxidoreductase AegA
OPGKPABH_01231	CDS	1251	avtA	2.6.1.66	COG3977	Valine--pyruvate aminotransferase
OPGKPABH_01232	CDS	2028	malS	3.2.1.1	COG0366	Periplasmic alpha-amylase
OPGKPABH_01233	CDS	825				hypothetical protein
OPGKPABH_01234	CDS	1179	xylR		COG1609	Xylose operon regulatory protein
OPGKPABH_01235	CDS	1323	xylA	5.3.1.5	COG2115	Xylose isomerase
OPGKPABH_01236	CDS	1455	xylB	2.7.1.17	COG1070	Xylulose kinase
OPGKPABH_01237	CDS	354				hypothetical protein
OPGKPABH_01238	CDS	996	wecH	2.3.1.-	COG3274	O-acetyltransferase WecH
OPGKPABH_01239	CDS	303				hypothetical protein
OPGKPABH_01240	CDS	912	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
OPGKPABH_01241	CDS	2070	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
OPGKPABH_01242	CDS	906				hypothetical protein
OPGKPABH_01243	CDS	267	tacA1			Antitoxin TacA1
OPGKPABH_01244	CDS	486	tacT1	2.3.1.-		tRNA-acetylating toxin 1
OPGKPABH_01245	CDS	540				hypothetical protein
OPGKPABH_01246	CDS	213	cspA		COG1278	Cold shock protein CspA
OPGKPABH_01247	CDS	333				hypothetical protein
OPGKPABH_01248	CDS	711				hypothetical protein
OPGKPABH_01249	CDS	975	ghrB	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
OPGKPABH_01250	CDS	663	yiaD		COG2885	putative lipoprotein YiaD
OPGKPABH_01251	CDS	2334	bisC	1.-.-.-	COG0243	Biotin sulfoxide reductase
OPGKPABH_01252	CDS	441	yiaC	2.3.1.-	COG0456	Peptidyl-lysine N-acetyltransferase YiaC
OPGKPABH_01253	CDS	582	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
OPGKPABH_01254	CDS	705				hypothetical protein
OPGKPABH_01255	CDS	189				hypothetical protein
OPGKPABH_01256	CDS	525	lpfA		COG3539	putative major fimbrial subunit LpfA
OPGKPABH_01257	CDS	699	lpfB_1		COG3121	putative fimbrial chaperone LpfB
OPGKPABH_01258	CDS	312	lpfC			putative outer membrane usher protein LpfC
OPGKPABH_01259	CDS	2244				hypothetical protein
OPGKPABH_01260	CDS	1080	lpfD_1		COG3539	putative minor fimbrial subunit LpfD
OPGKPABH_01261	CDS	528	lpfE		COG3539	putative fimbrial subunit LpfE
OPGKPABH_01262	CDS	1692	eptB	2.7.8.42	COG2194	Kdo(2)-lipid A phosphoethanolamine 7''-transferase
OPGKPABH_01263	tRNA	77				tRNA-Pro(cgg)
OPGKPABH_01264	CDS	1008	celR			HTH-type transcriptional regulator CelR
OPGKPABH_01265	CDS	1125				hypothetical protein
OPGKPABH_01266	CDS	1326	pucK		COG2233	Uric acid permease PucK
OPGKPABH_01267	CDS	1608	dppA		COG0747	Dipeptide-binding protein
OPGKPABH_01268	CDS	1020	dppB_1		COG0601	Dipeptide transport system permease protein DppB
OPGKPABH_01269	CDS	903	dppC_1		COG1173	Dipeptide transport system permease protein DppC
OPGKPABH_01270	CDS	984	dppD	7.4.2.9	COG0444	Dipeptide transport ATP-binding protein DppD
OPGKPABH_01271	CDS	1014	dppF	7.4.2.9	COG4608	Dipeptide transport ATP-binding protein DppF
OPGKPABH_01272	CDS	1299	yhjV		COG0814	Inner membrane transport protein YhjV
OPGKPABH_01273	CDS	108	ldrD			Small toxic polypeptide LdrD
OPGKPABH_01274	CDS	1680	bcsG			Cellulose biosynthesis protein BcsG
OPGKPABH_01275	CDS	192	bcsF			Cellulose biosynthesis protein BcsF
OPGKPABH_01276	CDS	1560	bcsE			Cyclic di-GMP binding protein BcsE
OPGKPABH_01277	CDS	204	yhjR			Protein YhjR
OPGKPABH_01278	CDS	753	bcsQ			Cellulose biosynthesis protein BcsQ
OPGKPABH_01279	CDS	2625	bcsA	2.4.1.12	COG1215	Cellulose synthase catalytic subunit [UDP-forming]
OPGKPABH_01280	CDS	2280	bcsB		COG1215	Cyclic di-GMP-binding protein
OPGKPABH_01281	CDS	1110	bcsZ	3.2.1.4	COG3405	Endoglucanase
OPGKPABH_01282	CDS	3543	bcsC		COG0457	Cellulose synthase operon protein C
OPGKPABH_01283	CDS	2007	pdeK	3.1.4.52	COG2199	putative cyclic di-GMP phosphodiesterase PdeK
OPGKPABH_01284	CDS	1287	dctA		COG1301	Aerobic C4-dicarboxylate transport protein
OPGKPABH_01285	CDS	1488	yhjJ		COG0612	Protein YhjJ
OPGKPABH_01286	CDS	930	kdgK	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
OPGKPABH_01287	CDS	768	pdeH	3.1.4.52	COG2200	Cyclic di-GMP phosphodiesterase PdeH
OPGKPABH_01288	CDS	2061				hypothetical protein
OPGKPABH_01289	CDS	1323	yhjE		COG0477	Inner membrane metabolite transport protein YhjE
OPGKPABH_01290	CDS	1029	yhjD		COG1295	Inner membrane protein YhjD
OPGKPABH_01291	CDS	900	aaeR_1		COG0583	HTH-type transcriptional activator AaeR
OPGKPABH_01292	CDS	603	yhjB		COG2197	Putative HTH-type transcriptional regulator YhjB
OPGKPABH_01293	CDS	357				hypothetical protein
OPGKPABH_01294	CDS	1590				hypothetical protein
OPGKPABH_01295	CDS	1650	treF	3.2.1.28	COG1626	Cytoplasmic trehalase
OPGKPABH_01296	CDS	720	nagR_1		COG2188	HTH-type transcriptional repressor NagR
OPGKPABH_01297	CDS	978	frlB_1	3.5.-.-	COG2222	Fructosamine deglycase FrlB
OPGKPABH_01298	CDS	846	frlD	2.7.1.-	COG0524	Fructosamine kinase FrlD
OPGKPABH_01299	CDS	1320	dcuA_1		COG2704	C4-dicarboxylate transporter DcuA
OPGKPABH_01300	CDS	1044	ansB_2	3.5.1.1		L-asparaginase
OPGKPABH_01301	CDS	1353	gor	1.8.1.7	COG1249	Glutathione reductase
OPGKPABH_01302	CDS	843	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
OPGKPABH_01303	CDS	1272				hypothetical protein
OPGKPABH_01304	CDS	2043	prlC	3.4.24.70		Oligopeptidase A
OPGKPABH_01305	CDS	759	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
OPGKPABH_01306	CDS	1473	dtpB		COG3104	Dipeptide and tripeptide permease B
OPGKPABH_01307	CDS	435	uspA		COG0589	Universal stress protein A
OPGKPABH_01308	CDS	336	uspB			Universal stress protein B
OPGKPABH_01309	CDS	1497	pitA		COG0306	Low-affinity inorganic phosphate transporter PitA
OPGKPABH_01310	CDS	1197	rdsA	1.3.1.-	COG2081	Ribosomal RNA dihydrouridine synthase
OPGKPABH_01311	CDS	1068				hypothetical protein
OPGKPABH_01312	CDS	2742	rbbA		COG0842	Ribosome-associated ATPase
OPGKPABH_01313	CDS	1125	yhhJ		COG0842	Inner membrane transport permease YhhJ
OPGKPABH_01314	CDS	438	nikR		COG0864	Nickel-responsive regulator
OPGKPABH_01315	CDS	579				hypothetical protein
OPGKPABH_01316	CDS	1050	yhhT		COG0628	Putative transport protein YhhT
OPGKPABH_01317	CDS	1260	yhhS		COG0477	putative MFS-type transporter YhhS
OPGKPABH_01318	CDS	558	dcrB			Inner membrane lipoprotein DcrB
OPGKPABH_01319	CDS	666	yhhQ		COG1738	Queuosine precursor transporter
OPGKPABH_01320	CDS	336	tusA			Sulfur carrier protein TusA
OPGKPABH_01321	CDS	1644	tsr_1		COG0840	Methyl-accepting chemotaxis protein I
OPGKPABH_01322	CDS	2199	zntA	7.2.2.-		Zinc/cadmium/lead-transporting P-type ATPase
OPGKPABH_01323	CDS	627				hypothetical protein
OPGKPABH_01324	CDS	372				hypothetical protein
OPGKPABH_01325	CDS	270				hypothetical protein
OPGKPABH_01326	CDS	597	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
OPGKPABH_01327	CDS	1476	ftsY	3.6.5.4	COG0552	Signal recognition particle receptor FtsY
OPGKPABH_01328	CDS	669	ftsE		COG2884	Cell division ATP-binding protein FtsE
OPGKPABH_01329	CDS	1056	ftsX		COG2177	Cell division protein FtsX
OPGKPABH_01330	CDS	855	rpoH		COG0568	RNA polymerase sigma factor RpoH
OPGKPABH_01331	CDS	1098	livJ			Leu/Ile/Val/Thr-binding protein
OPGKPABH_01332	CDS	384	panM			PanD regulatory factor
OPGKPABH_01333	CDS	1110	livK			Leucine-specific-binding protein
OPGKPABH_01334	CDS	927	livH		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
OPGKPABH_01335	CDS	1278				hypothetical protein
OPGKPABH_01336	CDS	768	lptB_2	7.5.2.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
OPGKPABH_01337	CDS	714	livF		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
OPGKPABH_01338	CDS	222				hypothetical protein
OPGKPABH_01339	CDS	369				hypothetical protein
OPGKPABH_01340	CDS	1317	ugpB		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
OPGKPABH_01341	CDS	888	ugpA		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
OPGKPABH_01342	CDS	846	ugpE		COG0395	sn-glycerol-3-phosphate transport system permease protein UgpE
OPGKPABH_01343	CDS	1071	ugpC	7.6.2.10		sn-glycerol-3-phosphate import ATP-binding protein UgpC
OPGKPABH_01344	CDS	741	ugpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
OPGKPABH_01345	CDS	417	yhhA			putative protein YhhA
OPGKPABH_01346	CDS	1743	ggt	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
OPGKPABH_01347	CDS	1035	php	3.1.-.-	COG1735	Phosphotriesterase homology protein
OPGKPABH_01348	CDS	972				hypothetical protein
OPGKPABH_01349	CDS	762				hypothetical protein
OPGKPABH_01350	CDS	1215	deoK_2	2.7.1.15		Deoxyribokinase
OPGKPABH_01351	CDS	489	aaaT	2.3.1.-	COG1247	L-amino acid N-acetyltransferase AaaT
OPGKPABH_01352	CDS	1038	yhhX	1.-.-.-	COG0673	putative oxidoreductase YhhX
OPGKPABH_01353	CDS	696	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
OPGKPABH_01354	CDS	996	gntR_2		COG1609	HTH-type transcriptional regulator GntR
OPGKPABH_01355	CDS	534	gntK_1	2.7.1.12	COG3265	Thermoresistant gluconokinase
OPGKPABH_01356	CDS	1341	gntU		COG2610	Low-affinity gluconate transporter
OPGKPABH_01357	CDS	480				hypothetical protein
OPGKPABH_01358	CDS	1107	asd	1.2.1.11		Aspartate-semialdehyde dehydrogenase
OPGKPABH_01359	CDS	2187	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
OPGKPABH_01360	CDS	1977	glgX_1	3.2.1.196	COG1523	Glycogen debranching enzyme
OPGKPABH_01361	CDS	1296	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
OPGKPABH_01362	CDS	1434	glgA	2.4.1.21	COG0297	Glycogen synthase
OPGKPABH_01363	CDS	2448	malP_1	2.4.1.1	COG0058	Maltodextrin phosphorylase
OPGKPABH_01364	CDS	756	rhmR_1		COG1414	putative HTH-type transcriptional regulator RhmR
OPGKPABH_01365	CDS	906	yjhH	4.1.2.28	COG0329	putative 2-dehydro-3-deoxy-D-pentonate aldolase YjhH
OPGKPABH_01366	CDS	1716	ilvD_1	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
OPGKPABH_01367	CDS	1335	ttuB_1			Putative tartrate transporter
OPGKPABH_01368	CDS	1110	gldA_1	1.1.1.6	COG0371	Glycerol dehydrogenase
OPGKPABH_01369	CDS	1497				hypothetical protein
OPGKPABH_01370	CDS	546				hypothetical protein
OPGKPABH_01371	CDS	1509	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
OPGKPABH_01372	CDS	327	glpE	2.8.1.1	COG0607	Thiosulfate sulfurtransferase GlpE
OPGKPABH_01373	CDS	831	glpG	3.4.21.105	COG0705	Rhomboid protease GlpG
OPGKPABH_01374	CDS	759	glpR		COG1349	Glycerol-3-phosphate regulon repressor
OPGKPABH_01375	CDS	2706	malT_2		COG2909	HTH-type transcriptional regulator MalT
OPGKPABH_01376	CDS	2394	malP_2	2.4.1.1	COG0058	Maltodextrin phosphorylase
OPGKPABH_01377	CDS	2079	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
OPGKPABH_01378	CDS	1317	gntT_2		COG2610	High-affinity gluconate transporter
OPGKPABH_01379	CDS	576	nfuA		COG0316	Fe/S biogenesis protein NfuA
OPGKPABH_01380	CDS	684				hypothetical protein
OPGKPABH_01381	CDS	771	bioH_2	3.1.1.85		Pimeloyl-[acyl-carrier protein] methyl ester esterase
OPGKPABH_01382	CDS	927				ISNCY family transposase ISSen7
OPGKPABH_01383	CDS	237	feoC			putative [Fe-S]-dependent transcriptional repressor FeoC
OPGKPABH_01384	CDS	2319	feoB		COG0370	Fe(2+) transporter FeoB
OPGKPABH_01385	CDS	228	feoA		COG1918	Fe(2+) transport protein A
OPGKPABH_01386	CDS	2331	yhgF		COG2183	Protein YhgF
OPGKPABH_01387	CDS	474	greB		COG0782	Transcription elongation factor GreB
OPGKPABH_01388	CDS	720	ompR		COG0745	DNA-binding dual transcriptional regulator OmpR
OPGKPABH_01389	CDS	1353	envZ			two-component system sensor histidine kinase EnvZ
OPGKPABH_01390	CDS	1620	pckA	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
OPGKPABH_01391	CDS	1710				hypothetical protein
OPGKPABH_01392	CDS	879	hslO		COG1281	33 kDa chaperonin
OPGKPABH_01393	CDS	402	hslR		COG1188	Heat shock protein 15
OPGKPABH_01394	CDS	669	yrfG	3.1.3.5	COG1011	GMP/IMP nucleotidase YrfG
OPGKPABH_01395	CDS	2133	igaA			Intracellular growth attenuator protein IgaA
OPGKPABH_01396	CDS	564	nudE	3.6.1.-	COG0494	ADP compounds hydrolase NudE
OPGKPABH_01397	CDS	2553	mrcA		COG5009	Penicillin-binding protein 1A
OPGKPABH_01398	CDS	780				hypothetical protein
OPGKPABH_01399	CDS	540				hypothetical protein
OPGKPABH_01400	CDS	474				hypothetical protein
OPGKPABH_01401	CDS	402				hypothetical protein
OPGKPABH_01402	CDS	1203	pilQ			Type IV pilus biogenesis and competence protein PilQ
OPGKPABH_01403	CDS	522	aroK	2.7.1.71	COG0703	Shikimate kinase 1
OPGKPABH_01404	CDS	1089	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
OPGKPABH_01405	CDS	1278	damX		COG3266	Cell division protein DamX
OPGKPABH_01406	CDS	837	dam_2	2.1.1.72	COG0338	DNA adenine methylase
OPGKPABH_01407	CDS	678	rpe_1	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
OPGKPABH_01408	CDS	759	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
OPGKPABH_01409	CDS	1005	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
OPGKPABH_01410	CDS	171				hypothetical protein
OPGKPABH_01411	CDS	5733				hypothetical protein
OPGKPABH_01412	CDS	1374	cysG			Siroheme synthase
OPGKPABH_01413	CDS	810	nirC		COG2116	Nitrite transporter NirC
OPGKPABH_01414	CDS	327	nirD	1.7.1.15	COG2146	Nitrite reductase (NADH) small subunit
OPGKPABH_01415	CDS	2544	nasD	1.7.1.4	COG1251	Nitrite reductase [NAD(P)H]
OPGKPABH_01416	CDS	1182	tsgA		COG0738	Protein TsgA
OPGKPABH_01417	CDS	573	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
OPGKPABH_01418	CDS	273				hypothetical protein
OPGKPABH_01419	CDS	603	fic	2.7.7.108	COG2184	putative protein adenylyltransferase Fic
OPGKPABH_01420	CDS	564	pabA	2.6.1.85	COG0512	Aminodeoxychorismate synthase component 2
OPGKPABH_01421	CDS	1218	argD	2.6.1.11		Acetylornithine/succinyldiaminopimelate aminotransferase
OPGKPABH_01422	CDS	2088				hypothetical protein
OPGKPABH_01423	CDS	633	crp			cAMP-activated global transcriptional regulator CRP
OPGKPABH_01424	CDS	405	yhfA		COG1765	Protein YhfA
OPGKPABH_01425	CDS	870	cfxP	2.7.1.19	COG3954	Phosphoribulokinase, plasmid
OPGKPABH_01426	CDS	219				hypothetical protein
OPGKPABH_01427	CDS	1023				hypothetical protein
OPGKPABH_01428	CDS	255	ydhR	1.-.-.-		Putative monooxygenase YdhR
OPGKPABH_01429	CDS	222				hypothetical protein
OPGKPABH_01430	CDS	1908	yheS		COG0488	putative ATP-binding protein YheS
OPGKPABH_01431	CDS	552	ywrO	1.6.99.-	COG2249	General stress protein 14
OPGKPABH_01432	CDS	1806	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
OPGKPABH_01433	CDS	201				hypothetical protein
OPGKPABH_01434	CDS	591	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
OPGKPABH_01435	CDS	219	slyX			Protein SlyX
OPGKPABH_01436	CDS	819	fkpA	5.2.1.8	COG0545	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA
OPGKPABH_01437	CDS	723	dauR			Transcriptional regulator DauR
OPGKPABH_01438	CDS	387	tusD	2.8.1.-	COG1553	Sulfurtransferase TusD
OPGKPABH_01439	CDS	357	tusC		COG2923	Protein TusC
OPGKPABH_01440	CDS	288	tusB		COG2168	Protein TusB
OPGKPABH_01441	CDS	375	rpsL		COG0048	Small ribosomal subunit protein uS12
OPGKPABH_01442	CDS	471	rpsG			Small ribosomal subunit protein uS7
OPGKPABH_01443	CDS	2115	fusA1			elongation factor G FusA1
OPGKPABH_01444	CDS	1185	tufA_1	3.6.5.3	COG0050	Elongation factor Tu 1
OPGKPABH_01445	CDS	195	bfd		COG2906	Bacterioferritin-associated ferredoxin
OPGKPABH_01446	CDS	477	bfr	1.16.3.1	COG2193	Bacterioferritin
OPGKPABH_01447	CDS	468	outO			Prepilin leader peptidase/N-methyltransferase
OPGKPABH_01448	CDS	312	rpsJ		COG0051	Small ribosomal subunit protein uS10
OPGKPABH_01449	CDS	630	rplC		COG0087	Large ribosomal subunit protein uL3
OPGKPABH_01450	CDS	606	rplD		COG0088	Large ribosomal subunit protein uL4
OPGKPABH_01451	CDS	303	rplW		COG0089	Large ribosomal subunit protein uL23
OPGKPABH_01452	CDS	822	rplB		COG0090	Large ribosomal subunit protein uL2
OPGKPABH_01453	CDS	279	rpsS		COG0185	Small ribosomal subunit protein uS19
OPGKPABH_01454	CDS	333	rplV		COG0091	Large ribosomal subunit protein uL22
OPGKPABH_01455	CDS	702	rpsC		COG0092	Small ribosomal subunit protein uS3
OPGKPABH_01456	CDS	411	rplP		COG0197	Large ribosomal subunit protein uL16
OPGKPABH_01457	CDS	192	rpmC		COG0255	Large ribosomal subunit protein uL29
OPGKPABH_01458	CDS	255	rpsQ		COG0186	Small ribosomal subunit protein uS17
OPGKPABH_01459	CDS	372	rplN		COG0093	Large ribosomal subunit protein uL14
OPGKPABH_01460	CDS	315	rplX		COG0198	Large ribosomal subunit protein uL24
OPGKPABH_01461	CDS	540	rplE		COG0094	Large ribosomal subunit protein uL5
OPGKPABH_01462	CDS	306	rpsN		COG0199	Small ribosomal subunit protein uS14
OPGKPABH_01463	CDS	393	rpsH		COG0096	Small ribosomal subunit protein uS8
OPGKPABH_01464	CDS	534	rplF		COG0097	Large ribosomal subunit protein uL6
OPGKPABH_01465	CDS	354	rplR		COG0256	Large ribosomal subunit protein uL18
OPGKPABH_01466	CDS	504	rpsE		COG0098	Small ribosomal subunit protein uS5
OPGKPABH_01467	CDS	180	rpmD		COG1841	Large ribosomal subunit protein uL30
OPGKPABH_01468	CDS	435	rplO		COG0200	Large ribosomal subunit protein uL15
OPGKPABH_01469	CDS	1332	secY		COG0201	Protein translocase subunit SecY
OPGKPABH_01470	CDS	117	rpmJ		COG0257	Large ribosomal subunit protein bL36A
OPGKPABH_01471	CDS	357	rpsM		COG0099	Small ribosomal subunit protein uS13
OPGKPABH_01472	CDS	381				hypothetical protein
OPGKPABH_01473	CDS	621	rpsD			Small ribosomal subunit protein uS4
OPGKPABH_01474	CDS	990	rpoA	2.7.7.6		DNA-directed RNA polymerase subunit alpha
OPGKPABH_01475	CDS	384	rplQ		COG0203	Large ribosomal subunit protein bL17
OPGKPABH_01476	CDS	369				hypothetical protein
OPGKPABH_01477	CDS	426	zntR		COG0789	HTH-type transcriptional regulator ZntR
OPGKPABH_01478	CDS	270				hypothetical protein
OPGKPABH_01479	CDS	414	mscL		COG1970	Large-conductance mechanosensitive channel
OPGKPABH_01480	CDS	1377	trkA		COG0569	Trk system potassium uptake protein TrkA
OPGKPABH_01481	CDS	1290	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
OPGKPABH_01482	CDS	948	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
OPGKPABH_01483	CDS	510	def	3.5.1.88	COG0242	Peptide deformylase
OPGKPABH_01484	CDS	1125				hypothetical protein
OPGKPABH_01485	CDS	474	smg			Protein Smg
OPGKPABH_01486	CDS	543	topA_1	5.6.2.1		DNA topoisomerase 1
OPGKPABH_01487	CDS	573	tsaC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
OPGKPABH_01488	CDS	822	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
OPGKPABH_01489	CDS	258				hypothetical protein
OPGKPABH_01490	CDS	555	yrdA		COG0663	Protein YrdA
OPGKPABH_01491	rRNA	62				16S ribosomal RNA
OPGKPABH_01492	tRNA	85				tRNA-Tyr(gta)
OPGKPABH_01493	CDS	843	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
OPGKPABH_01494	CDS	459				hypothetical protein
OPGKPABH_01495	CDS	687			COG1752	putative NTE family protein
OPGKPABH_01496	CDS	1014	rssB		COG0745	Regulator of RpoS
OPGKPABH_01497	CDS	909	galU	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
OPGKPABH_01498	CDS	414	hns			DNA-binding protein H-NS
OPGKPABH_01499	CDS	618	tdk	2.7.1.21	COG1435	Thymidine kinase
OPGKPABH_01500	CDS	2679	adhE		COG1012	Bifunctional aldehyde-alcohol dehydrogenase AdhE
OPGKPABH_01501	CDS	648				hypothetical protein
OPGKPABH_01502	CDS	1632	oppA			Periplasmic oligopeptide-binding protein OppA
OPGKPABH_01503	CDS	921	oppB			Oligopeptide transport system permease protein OppB
OPGKPABH_01504	CDS	909	oppC			Oligopeptide transport system permease protein OppC
OPGKPABH_01505	CDS	1008	oppD	7.4.2.6		Oligopeptide transport ATP-binding protein OppD
OPGKPABH_01506	CDS	1005	oppF_1	7.4.2.6		Oligopeptide transport ATP-binding protein OppF
OPGKPABH_01507	CDS	837				hypothetical protein
OPGKPABH_01508	CDS	330	yciU		COG3099	Putative double-stranded DNA mimic protein YciU
OPGKPABH_01509	CDS	1461	clsA	2.7.8.-	COG1502	Cardiolipin synthase A
OPGKPABH_01510	CDS	174				hypothetical protein
OPGKPABH_01511	CDS	297	yciI		COG2350	Protein YciI
OPGKPABH_01512	CDS	723	tonB			Protein TonB
OPGKPABH_01513	CDS	402		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
OPGKPABH_01514	CDS	540	yciB		COG2917	Inner membrane-spanning protein YciB
OPGKPABH_01515	CDS	744				hypothetical protein
OPGKPABH_01516	CDS	405				hypothetical protein
OPGKPABH_01517	CDS	639	ompW		COG3047	Outer membrane protein W
OPGKPABH_01518	CDS	879		1.11.1.6		Manganese catalase
OPGKPABH_01519	CDS	507	yciE		COG3685	Protein YciE
OPGKPABH_01520	CDS	504	yciF		COG3685	Protein YciF
OPGKPABH_01521	CDS	183				Putative virulence-regulating protein
OPGKPABH_01522	CDS	807	trpA	4.2.1.20		Tryptophan synthase alpha chain
OPGKPABH_01523	CDS	1194	trpB	4.2.1.20		Tryptophan synthase beta chain
OPGKPABH_01524	CDS	1359	trpC		COG0134	Tryptophan biosynthesis protein TrpCF
OPGKPABH_01525	CDS	1596	trpGD			Bifunctional protein TrpGD
OPGKPABH_01526	CDS	1563	trpE	4.1.3.27		Anthranilate synthase component 1
OPGKPABH_01527	CDS	870	rnm	3.1.13.-	COG0613	5'-3' exoribonuclease Rnm
OPGKPABH_01528	CDS	621	yciO		COG0009	putative protein YciO
OPGKPABH_01529	CDS	876	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
OPGKPABH_01530	CDS	591	btuR	2.5.1.17		Corrinoid adenosyltransferase CobA
OPGKPABH_01531	CDS	762	yciK	1.-.-.-	COG1028	putative oxidoreductase YciK
OPGKPABH_01532	CDS	1041	sohB	3.4.21.-	COG0616	putative protease SohB
OPGKPABH_01533	CDS	252	yciN			Protein YciN
OPGKPABH_01534	CDS	2598	topA_2	5.6.2.1	COG0550	DNA topoisomerase 1
OPGKPABH_01535	CDS	153				hypothetical protein
OPGKPABH_01536	CDS	975	cysB			HTH-type transcriptional regulator CysB
OPGKPABH_01537	CDS	129	ymiA			Protein YmiA
OPGKPABH_01538	CDS	2676	acnA	4.2.1.3		Aconitate hydratase A
OPGKPABH_01539	CDS	591	ribA	3.5.4.25	COG0807	GTP cyclohydrolase-2
OPGKPABH_01540	CDS	765	pgpB	3.1.3.27	COG0671	Phosphatidylglycerophosphatase B
OPGKPABH_01541	CDS	309	lapA		COG3771	Lipopolysaccharide assembly protein A
OPGKPABH_01542	CDS	1170	lapB		COG2956	Lipopolysaccharide assembly protein B
OPGKPABH_01543	CDS	738	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
OPGKPABH_01544	CDS	327	yciH		COG0023	putative protein YciH
